Hang_Seller,Seller_ID,Tong_Doanh_Thu,So_Luong_Don_Hang,So_Luong_San_Pham_Ban,Doanh_Thu_Trung_Binh_Moi_Dong
1,4869f7a5dfa277a7dca6462dcf3b52b2,248816.52,1127,1151,216.17
2,7c67e1448b00f6e969d365cea6b010ab,238520.55,976,1356,175.9
3,4a3ca9315b744ce9f8e9374361493884,233724.84,1793,1971,118.58
4,53243585a1d6dc2643021fd1853d8905,233277.42,355,407,573.16
5,fa1c13f2614d7b5c4749cbc52fecda94,203565.36,584,585,347.97
6,da8622b14eb17ae2831f4ac5b9dab84a,183588.55,1305,1536,119.52
7,7e93a43ef30c4f03f38b393420bc753a,181536.92,334,338,537.09
8,1025f0e2d44d7041d6cf58b6550e0bfa,172366.69,911,1424,121.04
9,7a67c85e85bb2ce8582c35f2203ad736,161015.45,1150,1161,138.69
10,955fee9216a65b617aa5c0531780ce60,159819.84,1280,1491,107.19
11,6560211a19b47992c3666cc44a7e94c0,150041.24,1842,2021,74.24
12,1f50f920176fa81dab994f9023523100,141475.03,1397,1923,73.57
13,46dc3b2cc0980fb8ec44634e21d2718e,139909.69,521,542,258.14
14,a1043bafd471dff536d0c462352beb48,133051.48,714,766,173.7
15,cc419e0650a3c5ba77189a1882b7556a,128638.71,1690,1759,73.13
16,620c87c171fb2a6dd6e8bb4dec959fc6,128330.21,735,793,161.83
17,5dceca129747e92ff8ef7a997dc4f8ca,124025.25,322,343,361.59
18,7d13fca15225358621be4086e1eb0964,121626.49,562,574,211.89
19,3d871de0142ce09b7081e2b9d1733cb1,116615.98,1075,1142,102.12
20,edb1ef5e36e0c8cd84eb3c9b003e486d,83189.65,166,175,475.37
21,ccc4bbb5f32a6ab2b7066a4130f114e3,78849.17,186,191,412.82
22,cca3071e3e9bb7d12640c9fbe2301306,77715.68,704,822,94.54
23,8581055ce74af1daba164fdbd55a40de,74325.81,385,433,171.65
24,f7ba60f8c3f99e7ee4042fdef03b70c4,72736.01,219,230,316.24
25,fe2032dab1a61af8794248c8196565c9,70680.95,294,306,230.98
26,de722cd6dad950a92b7d4f82673f8833,64492.93,336,376,171.52
27,7ddcbb64b5bc1ef36ca8c151f6ec77df,63131.51,331,340,185.68
28,f8db351d8c4c4c22c6835c19a46f01b0,62740.6,664,721,87.02
29,04308b1ee57b6625f47df1d56f00eedf,62677.59,93,93,673.95
30,218d46b86c1881d022bce9c68a7d4b15,62466.02,385,424,147.33
31,25c5c91f63607446a97b143d2d535d31,61176.28,156,266,229.99
32,17e34d8224d27a541263c4c64b11a56b,61172.58,254,267,229.11
33,522620dcb18a6b31cd7bdf73665113a9,61111.17,173,179,341.4
34,37be5a7c751166fbc5f8ccba4119e043,60333.0,268,276,218.6
35,ceaec5548eefc6e23e6607c5435102e7,58676.48,201,209,280.75
36,b2ba3715d723d245138f291a6fe42594,57964.95,336,362,160.12
37,f5a590cf36251cf1162ea35bef76fe84,57440.94,117,122,470.83
38,17f51e7198701186712e53a39c564617,56740.02,55,60,945.67
39,77530e9772f57a62c906e1c21538ab82,54598.98,317,386,141.45
40,8160255418d5aaa7dbdc9f4c64ebda44,54446.32,382,428,127.21
41,ea8482cd71df3c1969d7b9473ff13abc,54361.92,1137,1194,45.53
42,e9779976487b77c6d4ac45f75ec7afe9,52971.84,653,745,71.1
43,966cb4760537b1404caedd472cc610a5,52935.87,75,75,705.81
44,4e922959ae960d389249c378d1c939f5,52610.64,415,448,117.43
45,e882b2a25a10b9c057cc49695f222c19,51760.41,56,57,908.08
46,2bf6a2c1e71bbd29a4ad64e6d3c3629f,51629.49,30,31,1665.47
47,4d6d651bd7684af3fffabd5f08d12e5a,51205.37,367,393,130.29
48,c826c40d7b19f62a09e2d7c5e7295ee2,50932.27,352,371,137.28
49,391fc6631aebcf3004804e51b40bcf1e,49645.43,521,607,81.79
50,d91fb3b7d041e83b64a00a3edfb37e4f,49642.62,529,530,93.67
51,17a053fcb14bd219540cbde0df490be0,49531.57,125,149,332.43
52,c3cfdc648177fdbbbb35635a37472c53,48794.2,276,304,160.51
53,06a2c3af7b3aee5d69171b0e14f0ee87,48407.21,391,404,119.82
54,b33e7c55446eabf8fe1a42d037ac7d6d,47710.24,152,155,307.81
55,850f4f8af5ea87287ac68de36e29107f,47460.47,185,190,249.79
56,eeb6de78f79159600292e314a77cbd18,46795.28,83,84,557.09
57,712e6ed8aa4aa1fa65dab41fed5737e4,46704.13,79,87,536.83
58,ba90964cff9b9e0e6f32b23b82465f7b,45523.5,38,38,1197.99
59,2eb70248d66e0e3ef83659f71b244378,45373.54,198,208,218.14
60,634964b17796e64304cadf1ad3050fb7,45250.7,267,325,139.23
61,7142540dd4c91e2237acb7e911c4eba2,44289.16,319,331,133.8
62,834f3294fba9f932f56edc879193f925,44207.42,66,66,669.81
